domain,model,donor_wy,swe_mm,soil_liq_mm,aquifer_mm,total_storage_mm,basin,spatial
Tuolumne_River_distributed_elev,bigBuckt,2015,0.0,52.40187166052749,0.010733614617642965,52.41260527514513,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2016,0.0,52.56262362184964,0.010706277425075867,52.57332989927472,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2017,0.0,52.60754305855952,0.010979268268215242,52.61852232682774,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2018,0.0,50.9456189581304,0.008493717385875933,50.95411267551628,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2019,0.0,53.20377815466411,0.01189984007049815,53.215677994734605,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2020,0.0,52.520042506696115,0.010924394300208305,52.530966900996326,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2001,0.0,55.7383693501663,0.0,55.7383693501663,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2002,0.0,55.538767697865346,0.0,55.538767697865346,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2003,0.0,57.23999424003943,0.0,57.23999424003943,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2004,0.0,56.39690481117777,0.0,56.39690481117777,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2005,0.0,57.528662875933236,0.0,57.528662875933236,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2006,0.0,57.23588107475319,0.0,57.23588107475319,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2007,0.0,55.46531036250182,0.0,55.46531036250182,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2008,0.0,56.60302481537129,0.0,56.60302481537129,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2009,0.0,55.66469084561911,0.0,55.66469084561911,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2010,0.0,58.44469049202789,0.0,58.44469049202789,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2011,0.0,60.775799134021504,0.0,60.775799134021504,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2012,0.0,55.54811841350205,0.0,55.54811841350205,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2013,0.0,54.6888908166616,0.0,54.6888908166616,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2014,0.0,55.381866506894454,0.0,55.381866506894454,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2015,0.0,56.51265457206885,0.0,56.51265457206885,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2016,0.0,56.65121354090017,0.0,56.65121354090017,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2017,0.0,56.817943637130696,0.0,56.817943637130696,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2018,0.0,54.68159749148029,0.0,54.68159749148029,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2019,0.0,57.66908730936781,0.0,57.66908730936781,Tuolumne_River,elev
Tuolumne_River_distributed_elev,noXplict,2020,0.0,56.6797341375364,0.0,56.6797341375364,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2001,0.0,283.29290601615753,0.0,283.29290601615753,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2002,0.0,286.1483888645801,0.0,286.1483888645801,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2003,0.0,300.4567534420888,0.0,300.4567534420888,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2004,0.0,285.646817109622,0.0,285.646817109622,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2005,0.0,305.0682094043823,0.0,305.0682094043823,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2006,0.0,298.02980593154547,0.0,298.02980593154547,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2007,0.0,276.8817170820904,0.0,276.8817170820904,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2008,0.0,291.01864009756207,0.0,291.01864009756207,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2009,0.0,293.79219601979423,0.0,293.79219601979423,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2010,0.0,309.2429404462196,0.0,309.2429404462196,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2011,0.0,316.5565593218295,0.0,316.5565593218295,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2012,0.0,281.1138218415614,0.0,281.1138218415614,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2013,0.0,273.69587835920856,0.0,273.69587835920856,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2014,0.0,281.3896692965876,0.0,281.3896692965876,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2015,0.0,292.4467659233905,0.0,292.4467659233905,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2016,0.0,289.93530824708955,0.0,289.93530824708955,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2017,0.0,295.38056504184675,0.0,295.38056504184675,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2018,0.0,280.0814494611164,0.0,280.0814494611164,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2019,0.0,301.45874179779867,0.0,301.45874179779867,Tuolumne_River,elev
Tuolumne_River_distributed_elev,qTopmodl,2020,0.0,292.8054421884026,0.0,292.8054421884026,Tuolumne_River,elev
Tuolumne_River_distributed_elevAspect,bigBuckt,2001,0.0,47.33636502930836,0.0034340208902502722,47.339799050198614,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2002,0.0,47.05789867438714,0.0033101023180086733,47.06120877670515,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2003,0.0,47.7400636088283,0.003776592917752924,47.74384020174605,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2004,0.0,47.73213520532478,0.0037018895547978312,47.73583709487958,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2005,0.0,48.06517558408907,0.0038736752537574183,48.069049259342826,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2006,0.0,47.85678841734915,0.0037729737181192886,47.86056139106727,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2007,0.0,47.21734020138876,0.0033747476498371576,47.220714949038594,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2008,0.0,47.78069158398156,0.0037137880401424423,47.7844053720217,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2009,0.0,47.1116321792864,0.0034139171560590097,47.11504609644246,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2010,0.0,48.20929317845204,0.003966241511298634,48.21325941996334,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2011,0.0,49.232163121256285,0.004611386330928387,49.236774507587214,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2012,0.0,47.110812086779056,0.0033073268376156754,47.11411941361667,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2013,0.0,46.95655229693795,0.0032756882779110615,46.95982798521586,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2014,0.0,47.0540173050419,0.0032934892026909865,47.05731079424459,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2015,0.0,47.60270041306398,0.0036234619676460043,47.60632387503163,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2016,0.0,47.483106381736384,0.0035703439263154828,47.4866767256627,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2017,0.0,47.63358701483144,0.0036365083194650084,47.63722352315091,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2018,0.0,46.824576084823356,0.0031715516946666947,46.82774763651802,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2019,0.0,47.93396818019197,0.003828899304651615,47.93779707949662,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,bigBuckt,2020,0.0,47.4839119943896,0.003567785668909889,47.487479780058514,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2001,0.0,118.99852068121187,0.0,118.99852068121187,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2002,0.0,114.88492192235951,0.0,114.88492192235951,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2003,0.0,124.24706253527657,0.0,124.24706253527657,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2004,0.0,121.09640948604284,0.0,121.09640948604284,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2005,0.0,127.84234968370508,0.0,127.84234968370508,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2006,0.0,123.5274384026318,0.0,123.5274384026318,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2007,0.0,116.31958368541704,0.0,116.31958368541704,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2008,0.0,122.47740280623586,0.0,122.47740280623586,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2009,0.0,114.91404509159815,0.0,114.91404509159815,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2010,0.0,128.32141323288994,0.0,128.32141323288994,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2011,0.0,134.996499863973,0.0,134.996499863973,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2012,0.0,115.08698552304233,0.0,115.08698552304233,Tuolumne_River,elevAspect
Tuolumne_River_distributed_elevAspect,noXplict,2013,0.0,112.58509197494821,0.0,112.58509197494821,Tuolumne_River,elevAspect
